stage,base_model_type,base_params,base_p1_sample_weight,base_p2_sample_weight,base_p4_sample_weight,p1p2_model_type,p1p2_params,boundary_p1_sample_weight,boundary_p2_sample_weight,validation_objective,validation_accuracy,validation_macro_f1,validation_weighted_f1,validation_macro_recall,validation_min_recall,validation_off_by_one_accuracy,validation_mae,validation_p1_recall,validation_p2_recall,validation_p3_recall,validation_p4_recall,validation_p5_recall,natural_accuracy,natural_macro_f1,natural_weighted_f1,natural_macro_recall,natural_min_recall,natural_off_by_one_accuracy,natural_mae,natural_p1_recall,natural_p2_recall,natural_p3_recall,natural_p4_recall,natural_p5_recall
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.0,sgd_log,alpha=0.1,1.0,1.0,1.5911869643842067,0.6928,0.6906449406403441,0.690644940640344,0.6928000000000001,0.608,0.8992,0.4528,0.624,0.624,0.896,0.608,0.712,0.7256281407035176,0.7249068670444753,0.7250458730623904,0.7254339881224302,0.6532663316582915,0.8994974874371859,0.4100502512562814,0.6532663316582915,0.6818181818181818,0.875,0.6834170854271356,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.15,1.2,sgd_log,alpha=0.03,1.0,1.0,1.590398376040568,0.6872,0.6865972934009468,0.6865972934009468,0.6872,0.616,0.896,0.4608,0.62,0.624,0.86,0.616,0.716,0.714572864321608,0.714586508216413,0.7147445027795617,0.7144036850921273,0.6381909547738693,0.8994974874371859,0.4221105527638191,0.6381909547738693,0.6666666666666666,0.835,0.6884422110552764,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.4,sgd_log,alpha=0.05,1.0,1.0,1.5902054556871146,0.6912,0.6910757594785242,0.6910757594785241,0.6912,0.608,0.9016,0.4496,0.624,0.608,0.844,0.668,0.712,0.7195979899497488,0.7196974002855593,0.7198368984820089,0.7194337850870515,0.6532663316582915,0.9025125628140703,0.4100502512562814,0.6532663316582915,0.6616161616161617,0.825,0.7185929648241206,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.0,1.2,sgd_log,alpha=0.03,1.0,1.0,1.5895655774823743,0.6912,0.6903426291372903,0.6903426291372902,0.6912,0.608,0.9008,0.4504,0.624,0.608,0.856,0.644,0.724,0.7155778894472362,0.7150434966564044,0.7151974169151781,0.7153934825643369,0.6381909547738693,0.9045226130653267,0.41708542713567837,0.6381909547738693,0.6515151515151515,0.835,0.7135678391959799,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.05,1.0,1.0,1.4,sgd_log,alpha=0.03,1.0,1.0,1.5885659832284407,0.6904,0.6902766387140675,0.6902766387140675,0.6904,0.608,0.9016,0.4504,0.62,0.608,0.844,0.668,0.712,0.7135678391959799,0.7134554407575608,0.7136082557519102,0.7133884066798639,0.6381909547738693,0.9025125628140703,0.41708542713567837,0.6381909547738693,0.6464646464646465,0.825,0.7185929648241206,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.2,sgd_log,alpha=0.05,1.0,1.0,1.5856507372088369,0.6872,0.686351228681395,0.6863512286813951,0.6872,0.612,0.8984,0.4584,0.624,0.612,0.872,0.636,0.692,0.7206030150753768,0.7202434031512153,0.7203894612668785,0.7204087102177554,0.6482412060301508,0.9015075376884422,0.4120603015075377,0.6482412060301508,0.6666666666666666,0.86,0.7035175879396985,0.7236180904522613
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.15,1.4,sgd_log,alpha=0.05,1.0,1.0,1.584456213599785,0.6888,0.6886270226663086,0.6886270226663086,0.6888,0.608,0.8984,0.4552,0.62,0.608,0.836,0.66,0.72,0.7226130653266332,0.7225319765188395,0.7226717614026712,0.7224539871072535,0.6532663316582915,0.9045226130653267,0.40703517587939697,0.6532663316582915,0.6717171717171717,0.83,0.7185929648241206,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.15,1.4,sgd_log,alpha=0.03,1.0,1.0,1.582816590522484,0.688,0.6878276508708068,0.6878276508708067,0.6880000000000001,0.608,0.8984,0.456,0.616,0.608,0.836,0.66,0.72,0.7165829145728643,0.7163112448264012,0.7164642931324954,0.7164086087000661,0.6381909547738693,0.9045226130653267,0.414070351758794,0.6381909547738693,0.6565656565656566,0.83,0.7185929648241206,0.7386934673366834
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.0,sgd_log,alpha=0.05,1.0,1.0,1.5826411716255213,0.6912,0.6890686193758684,0.6890686193758683,0.6912,0.608,0.8992,0.4528,0.628,0.612,0.896,0.608,0.712,0.7206030150753768,0.7197354754180252,0.7198893085804219,0.7203885589563981,0.6482412060301508,0.8994974874371859,0.4150753768844221,0.6482412060301508,0.6616161616161617,0.875,0.6834170854271356,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.0,1.2,sgd_log,alpha=0.1,1.0,1.0,1.5798289018349179,0.6872,0.68591483639153,0.6859148363915297,0.6872,0.608,0.8976,0.46,0.62,0.608,0.876,0.644,0.688,0.7246231155778895,0.724315559509253,0.7244434614495807,0.7244389624892137,0.6532663316582915,0.9035175879396985,0.4040201005025126,0.6532663316582915,0.6767676767676768,0.86,0.7085427135678392,0.7236180904522613
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.03,1.0,1.0,1.4,sgd_log,alpha=0.05,1.0,1.0,1.579579094145195,0.6912,0.6904318235753247,0.6904318235753247,0.6912,0.6,0.9016,0.4488,0.62,0.6,0.856,0.66,0.72,0.7226130653266332,0.7219821420207854,0.7221133023687903,0.7224287092025785,0.6532663316582915,0.907537688442211,0.4040201005025126,0.6532663316582915,0.6565656565656566,0.84,0.7185929648241206,0.7437185929648241
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.4,sgd_log,alpha=0.1,1.0,1.0,1.5777306504547306,0.6856,0.6852844174245512,0.6852844174245513,0.6856,0.608,0.9,0.4592,0.62,0.608,0.848,0.652,0.7,0.7226130653266332,0.7227623840589983,0.7228729218028269,0.7224691640018273,0.6532663316582915,0.9035175879396985,0.40603015075376886,0.6532663316582915,0.6818181818181818,0.825,0.7185929648241206,0.7336683417085427
cost_sensitive_p1p2_boundary,sgd_log,alpha=0.1,1.0,1.15,1.2,sgd_log,alpha=0.03,1.0,1.0,1.5771603577718725,0.6856,0.6847339296197874,0.6847339296197875,0.6856,0.608,0.8984,0.46,0.62,0.608,0.872,0.636,0.692,0.714572864321608,0.7139537869175971,0.7141114733133705,0.714363331810568,0.6331658291457286,0.9015075376884422,0.4201005025125628,0.6331658291457286,0.6515151515151515,0.86,0.7035175879396985,0.7236180904522613
